  i|  p|  B 
  557|  1|  1100111011
  558|  2|  1100111001
  559|  1|  1100111000
  560|  2|  1100101000
  561|  1|  1100101001
  562|  2|  1100101011
  563|  1|  1100101010
  564|  2|  1100101110
  565|  1|  1100101111
  566|  2|  1100101101
  567|  1|  1100101100
  568|  2|  1100100100
  569|  1|  1100100101
  570|  2|  1100100111
  571|  1|  1100100110
  572|  2|  1100100010
  573|  1|  1100100011
  574|  2|  1100100001
  575|  1|  1100100000
  576|  2|  1101100000
  577|  1|  1101100001
  578|  2|  1101100011
  579|  1|  1101100010
  580|  2|  1101100110
  581|  1|  1101100111
  582|  2|  1101100101
  583|  1|  1101100100
  584|  2|  1101101100
  585|  1|  1101101101
  586|  2|  1101101111
  587|  1|  1101101110
  588|  2|  1101101010
  589|  1|  1101101011
  590|  2|  1101101001
  591|  1|  1101101000
  592|  2|  1101111000
  593|  1|  1101111001
  594|  2|  1101111011
  595|  1|  1101111010
  596|  2|  1101111110
  597|  1|  1101111111
  598|  2|  1101111101
  599|  1|  1101111100
  600|  2|  1101110100
  601|  1|  1101110101
  602|  2|  1101110111
  603|  1|  1101110110
  604|  2|  1101110010
  605|  1|  1101110011
  606|  2|  1101110001
  607|  1|  1101110000
  608|  2|  1101010000
  609|  1|  1101010001
  610|  2|  1101010011
  611|  1|  1101010010
  612|  2|  1101010110
  613|  1|  1101010111
  614|  2|  1101010101
  615|  1|  1101010100
  616|  2|  1101011100
  617|  1|  1101011101
  618|  2|  1101011111
  619|  1|  1101011110
  620|  2|  1101011010
  621|  1|  1101011011
  622|  2|  1101011001
  623|  1|  1101011000
  624|  2|  1101001000
  625|  1|  1101001001
  626|  2|  1101001011
  627|  1|  1101001010
  628|  2|  1101001110
  629|  1|  1101001111
  630|  2|  1101001101
  631|  1|  1101001100
  632|  2|  1101000100
  633|  1|  1101000101
  634|  2|  1101000111
  635|  1|  1101000110
  636|  2|  1101000010
  637|  1|  1101000011
  638|  2|  1101000001
  639|  1|  1101000000
  640|  2|  1111000000
  641|  1|  1111000001
  642|  2|  1111000011
  643|  1|  1111000010
  644|  2|  1111000110
  645|  1|  1111000111
  646|  2|  1111000101
  647|  1|  1111000100
  648|  2|  1111001100
  649|  1|  1111001101
  650|  2|  1111001111
  651|  1|  1111001110
  652|  2|  1111001010
  653|  1|  1111001011
  654|  2|  1111001001
  655|  1|  1111001000
  656|  2|  1111011000
  657|  1|  1111011001
  658|  2|  1111011011
  659|  1|  1111011010
  660|  2|  1111011110
  661|  1|  1111011111
  662|  2|  1111011101
  663|  1|  1111011100
  664|  2|  1111010100
  665|  1|  1111010101
  666|  2|  1111010111
  667|  1|  1111010110
  668|  2|  1111010010
  669|  1|  1111010011
  670|  2|  1111010001
  671|  1|  1111010000
  672|  2|  1111110000
  673|  1|  1111110001
  674|  2|  1111110011
  675|  1|  1111110010
  676|  2|  1111110110
  677|  1|  1111110111
  678|  2|  1111110101
  679|  1|  1111110100
  680|  2|  1111111100
  681|  1|  1111111101
  682|  2|  1111111111
  683|  1|  1111111110
  684|  2|  1111111010
  685|  1|  1111111011
  686|  2|  1111111001
  687|  1|  1111111000
  688|  2|  1111101000
  689|  1|  1111101001
  690|  2|  1111101011
  691|  1|  1111101010
  692|  2|  1111101110
  693|  1|  1111101111
  694|  2|  1111101101
  695|  1|  1111101100
  696|  2|  1111100100
  697|  1|  1111100101
  698|  2|  1111100111
  699|  1|  1111100110
  700|  2|  1111100010
  701|  1|  1111100011
  702|  2|  1111100001
  703|  1|  1111100000
  704|  2|  1110100000
  705|  1|  1110100001
  706|  2|  1110100011
  707|  1|  1110100010
  708|  2|  1110100110
  709|  1|  1110100111
  710|  2|  1110100101
  711|  1|  1110100100
  712|  2|  1110101100
  713|  1|  1110101101
  714|  2|  1110101111
  715|  1|  1110101110
  716|  2|  1110101010
  717|  1|  1110101011
  718|  2|  1110101001
  719|  1|  1110101000
  720|  2|  1110111000
  721|  1|  1110111001
  722|  2|  1110111011
  723|  1|  1110111010
  724|  2|  1110111110
  725|  1|  1110111111
  726|  2|  1110111101
  727|  1|  1110111100
  728|  2|  1110110100
  729|  1|  1110110101
  730|  2|  1110110111
  731|  1|  1110110110
  732|  2|  1110110010
  733|  1|  1110110011
  734|  2|  1110110001
  735|  1|  1110110000
  736|  2|  1110010000
  737|  1|  1110010001
  738|  2|  1110010011
  739|  1|  1110010010
  740|  2|  1110010110
  741|  1|  1110010111
  742|  2|  1110010101
  743|  1|  1110010100
  744|  2|  1110011100
  745|  1|  1110011101
  746|  2|  1110011111
  747|  1|  1110011110
  748|  2|  1110011010
  749|  1|  1110011011
  750|  2|  1110011001
  751|  1|  1110011000
  752|  2|  1110001000
  753|  1|  1110001001
  754|  2|  1110001011
  755|  1|  1110001010
  756|  2|  1110001110
  757|  1|  1110001111
  758|  2|  1110001101
  759|  1|  1110001100
  760|  2|  1110000100
  761|  1|  1110000101
  762|  2|  1110000111
  763|  1|  1110000110
  764|  2|  1110000010
  765|  1|  1110000011
  766|  2|  1110000001
  767|  1|  1110000000
  768|  2|  1010000000
  769|  1|  1010000001
  770|  2|  1010000011
  771|  1|  1010000010
  772|  2|  1010000110
  773|  1|  1010000111
  774|  2|  1010000101
  775|  1|  1010000100
  776|  2|  1010001100
  777|  1|  1010001101
  778|  2|  1010001111
  779|  1|  1010001110
  780|  2|  1010001010
  781|  1|  1010001011
  782|  2|  1010001001
  783|  1|  1010001000
  784|  2|  1010011000
  785|  1|  1010011001
  786|  2|  1010011011
  787|  1|  1010011010
  788|  2|  1010011110
  789|  1|  1010011111
  790|  2|  1010011101
  791|  1|  1010011100
  792|  2|  1010010100
  793|  1|  1010010101
  794|  2|  1010010111
  795|  1|  1010010110
  796|  2|  1010010010
  797|  1|  1010010011
  798|  2|  1010010001
  799|  1|  1010010000
  800|  2|  1010110000
  801|  1|  1010110001
  802|  2|  1010110011
  803|  1|  1010110010
  804|  2|  1010110110
  805|  1|  1010110111
  806|  2|  1010110101
  807|  1|  1010110100
  808|  2|  1010111100
  809|  1|  1010111101
  810|  2|  1010111111
  811|  1|  1010111110
  812|  2|  1010111010
  813|  1|  1010111011
  814|  2|  1010111001
  815|  1|  1010111000
